Symbol,Name,Sector
GC=F,Gold Futures,Commodities
SI=F,Silver Futures,Commodities
BTC=F,Bitcoin Futures,Crypto
ES=F,E-mini S&P 500 Futures,ETF
AAPL,Apple Inc.,Technology
MSFT,Microsoft Corporation,Technology
GOOGL,Alphabet Inc.,Technology
AMZN,Amazon.com Inc.,Consumer Cyclical
NVDA,NVIDIA Corporation,Technology
META,Meta Platforms Inc.,Technology
TSLA,Tesla Inc.,Consumer Cyclical
BRK-B,Berkshire Hathaway Inc.,Financial Services
LLY,Eli Lilly and Company,Healthcare
V,Visa Inc.,Financial Services
TSM,Taiwan Semiconductor Manufacturing,Technology
UNH,UnitedHealth Group Incorporated,Healthcare
AVGO,Broadcom Inc.,Technology
JPM,JPMorgan Chase & Co.,Financial Services
XOM,Exxon Mobil Corporation,Energy
WMT,Walmart Inc.,Consumer Defensive
JNJ,Johnson & Johnson,Healthcare
MA,Mastercard Incorporated,Financial Services
PG,Procter & Gamble Company,Consumer Defensive
HD,The Home Depot Inc.,Consumer Cyclical
MRK,Merck & Co. Inc.,Healthcare
COST,Costco Wholesale Corporation,Consumer Defensive
ABBV,AbbVie Inc.,Healthcare
CVX,Chevron Corporation,Energy
CRM,Salesforce Inc.,Technology
AMD,Advanced Micro Devices Inc.,Technology
BAC,Bank of America Corporation,Financial Services
PEP,PepsiCo Inc.,Consumer Defensive
KO,The Coca-Cola Company,Consumer Defensive
NFLX,Netflix Inc.,Communication Services
ADBE,Adobe Inc.,Technology
DIS,The Walt Disney Company,Communication Services
TMO,Thermo Fisher Scientific Inc.,Healthcare
CSCO,Cisco Systems Inc.,Technology
MCD,McDonald's Corporation,Consumer Cyclical
ABT,Abbott Laboratories,Healthcare
DHR,Danaher Corporation,Healthcare
INTC,Intel Corporation,Technology
VZ,Verizon Communications Inc.,Communication Services
CMCSA,Comcast Corporation,Communication Services
PFE,Pfizer Inc.,Healthcare
NKE,NIKE Inc.,Consumer Cyclical
WFC,Wells Fargo & Company,Financial Services
LIN,Linde plc,Basic Materials
PM,Philip Morris International Inc.,Consumer Defensive
INTU,Intuit Inc.,Technology
TXN,Texas Instruments Incorporated,Technology
AMGN,Amgen Inc.,Healthcare
IBM,International Business Machines Corporation,Technology
QCOM,QUALCOMM Incorporated,Technology
SPY,SPDR S&P 500 ETF Trust,ETF
QQQ,Invesco QQQ Trust,ETF
IWM,iShares Russell 2000 ETF,ETF
MMM,3M,Industrials
AOS,A. O. Smith,Industrials
ACN,Accenture,Information Technology
AES,AES Corporation,Utilities
AFL,Aflac,Financials
A,Agilent Technologies,Health Care
APD,Air Products,Materials
ABNB,Airbnb,Consumer Discretionary
AKAM,Akamai Technologies,Information Technology
ALB,Albemarle Corporation,Materials
ARE,Alexandria Real Estate Equities,Real Estate
ALGN,Align Technology,Health Care
ALLE,Allegion,Industrials
LNT,Alliant Energy,Utilities
ALL,Allstate,Financials
GOOG,Alphabet Inc. (Class C),Communication Services
MO,Altria,Consumer Staples
AMCR,Amcor,Materials
AEE,Ameren,Utilities
AEP,American Electric Power,Utilities
AXP,American Express,Financials
AIG,American International Group,Financials
AMT,American Tower,Real Estate
AWK,American Water Works,Utilities
AMP,Ameriprise Financial,Financials
AME,Ametek,Industrials
APH,Amphenol,Information Technology
ADI,Analog Devices,Information Technology
AON,Aon plc,Financials
APA,APA Corporation,Energy
APO,Apollo Global Management,Financials
AMAT,Applied Materials,Information Technology
APTV,Aptiv,Consumer Discretionary
ACGL,Arch Capital Group,Financials
ADM,Archer Daniels Midland,Consumer Staples
ANET,Arista Networks,Information Technology
AJG,Arthur J. Gallagher & Co.,Financials
AIZ,Assurant,Financials
T,AT&T,Communication Services
ATO,Atmos Energy,Utilities
ADSK,Autodesk,Information Technology
ADP,Automatic Data Processing,Industrials
AZO,AutoZone,Consumer Discretionary
AVB,AvalonBay Communities,Real Estate
AVY,Avery Dennison,Materials
AXON,Axon Enterprise,Industrials
BKR,Baker Hughes,Energy
BALL,Ball Corporation,Materials
BAX,Baxter International,Health Care
BDX,Becton Dickinson,Health Care
BBY,Best Buy,Consumer Discretionary
TECH,Bio-Techne,Health Care
BIIB,Biogen,Health Care
BLK,BlackRock,Financials
BX,Blackstone Inc.,Financials
XYZ,"Block, Inc.",Financials
BK,BNY Mellon,Financials
BA,Boeing,Industrials
BKNG,Booking Holdings,Consumer Discretionary
BSX,Boston Scientific,Health Care
BMY,Bristol Myers Squibb,Health Care
BR,Broadridge Financial Solutions,Industrials
BRO,Brown & Brown,Financials
BF-B,Brown–Forman,Consumer Staples
BLDR,Builders FirstSource,Industrials
BG,Bunge Global,Consumer Staples
BXP,"BXP, Inc.",Real Estate
CHRW,C.H. Robinson,Industrials
CDNS,Cadence Design Systems,Information Technology
CZR,Caesars Entertainment,Consumer Discretionary
CPT,Camden Property Trust,Real Estate
CPB,Campbell's Company (The),Consumer Staples
COF,Capital One,Financials
CAH,Cardinal Health,Health Care
KMX,CarMax,Consumer Discretionary
CCL,Carnival,Consumer Discretionary
CARR,Carrier Global,Industrials
CAT,Caterpillar Inc.,Industrials
CBOE,Cboe Global Markets,Financials
CBRE,CBRE Group,Real Estate
CDW,CDW Corporation,Information Technology
COR,Cencora,Health Care
CNC,Centene Corporation,Health Care
CNP,CenterPoint Energy,Utilities
CF,CF Industries,Materials
CRL,Charles River Laboratories,Health Care
SCHW,Charles Schwab Corporation,Financials
CHTR,Charter Communications,Communication Services
CMG,Chipotle Mexican Grill,Consumer Discretionary
CB,Chubb Limited,Financials
CHD,Church & Dwight,Consumer Staples
CI,Cigna,Health Care
CINF,Cincinnati Financial,Financials
CTAS,Cintas,Industrials
C,Citigroup,Financials
CFG,Citizens Financial Group,Financials
CLX,Clorox,Consumer Staples
CME,CME Group,Financials
CMS,CMS Energy,Utilities
CTSH,Cognizant,Information Technology
COIN,Coinbase,Financials
CL,Colgate-Palmolive,Consumer Staples
CAG,Conagra Brands,Consumer Staples
COP,ConocoPhillips,Energy
ED,Consolidated Edison,Utilities
STZ,Constellation Brands,Consumer Staples
CEG,Constellation Energy,Utilities
COO,Cooper Companies (The),Health Care
CPRT,Copart,Industrials
GLW,Corning Inc.,Information Technology
CPAY,Corpay,Financials
CTVA,Corteva,Materials
CSGP,CoStar Group,Real Estate
CTRA,Coterra,Energy
CRWD,CrowdStrike,Information Technology
CCI,Crown Castle,Real Estate
CSX,CSX Corporation,Industrials
CMI,Cummins,Industrials
CVS,CVS Health,Health Care
DRI,Darden Restaurants,Consumer Discretionary
DDOG,Datadog,Information Technology
DVA,DaVita,Health Care
DAY,Dayforce,Industrials
DECK,Deckers Brands,Consumer Discretionary
DE,Deere & Company,Industrials
DELL,Dell Technologies,Information Technology
DAL,Delta Air Lines,Industrials
DVN,Devon Energy,Energy
DXCM,Dexcom,Health Care
FANG,Diamondback Energy,Energy
DLR,Digital Realty,Real Estate
DG,Dollar General,Consumer Staples
DLTR,Dollar Tree,Consumer Staples
D,Dominion Energy,Utilities
DPZ,Domino's,Consumer Discretionary
DASH,DoorDash,Consumer Discretionary
DOV,Dover Corporation,Industrials
DOW,Dow Inc.,Materials
DHI,D. R. Horton,Consumer Discretionary
DTE,DTE Energy,Utilities
DUK,Duke Energy,Utilities
DD,DuPont,Materials
EMN,Eastman Chemical Company,Materials
ETN,Eaton Corporation,Industrials
EBAY,eBay Inc.,Consumer Discretionary
ECL,Ecolab,Materials
EIX,Edison International,Utilities
EW,Edwards Lifesciences,Health Care
EA,Electronic Arts,Communication Services
ELV,Elevance Health,Health Care
EMR,Emerson Electric,Industrials
ENPH,Enphase Energy,Information Technology
ETR,Entergy,Utilities
EOG,EOG Resources,Energy
EPAM,EPAM Systems,Information Technology
EQT,EQT Corporation,Energy
EFX,Equifax,Industrials
EQIX,Equinix,Real Estate
EQR,Equity Residential,Real Estate
ERIE,Erie Indemnity,Financials
ESS,Essex Property Trust,Real Estate
EL,Estée Lauder Companies (The),Consumer Staples
EG,Everest Group,Financials
EVRG,Evergy,Utilities
ES,Eversource Energy,Utilities
EXC,Exelon,Utilities
EXE,Expand Energy,Energy
EXPE,Expedia Group,Consumer Discretionary
EXPD,Expeditors International,Industrials
EXR,Extra Space Storage,Real Estate
FFIV,"F5, Inc.",Information Technology
FDS,FactSet,Financials
FICO,Fair Isaac,Information Technology
FAST,Fastenal,Industrials
FRT,Federal Realty Investment Trust,Real Estate
FDX,FedEx,Industrials
FIS,Fidelity National Information Services,Financials
FITB,Fifth Third Bancorp,Financials
FSLR,First Solar,Information Technology
FE,FirstEnergy,Utilities
FI,Fiserv,Financials
F,Ford Motor Company,Consumer Discretionary
FTNT,Fortinet,Information Technology
FTV,Fortive,Industrials
FOXA,Fox Corporation (Class A),Communication Services
FOX,Fox Corporation (Class B),Communication Services
BEN,Franklin Resources,Financials
FCX,Freeport-McMoRan,Materials
GRMN,Garmin,Consumer Discretionary
IT,Gartner,Information Technology
GE,GE Aerospace,Industrials
GEHC,GE HealthCare,Health Care
GEV,GE Vernova,Industrials
GEN,Gen Digital,Information Technology
GNRC,Generac,Industrials
GD,General Dynamics,Industrials
GIS,General Mills,Consumer Staples
GM,General Motors,Consumer Discretionary
GPC,Genuine Parts Company,Consumer Discretionary
GILD,Gilead Sciences,Health Care
GPN,Global Payments,Financials
GL,Globe Life,Financials
GDDY,GoDaddy,Information Technology
GS,Goldman Sachs,Financials
HAL,Halliburton,Energy
HIG,Hartford (The),Financials
HAS,Hasbro,Consumer Discretionary
HCA,HCA Healthcare,Health Care
DOC,Healthpeak Properties,Real Estate
HSIC,Henry Schein,Health Care
HSY,Hershey Company (The),Consumer Staples
HPE,Hewlett Packard Enterprise,Information Technology
HLT,Hilton Worldwide,Consumer Discretionary
HOLX,Hologic,Health Care
HON,Honeywell,Industrials
HRL,Hormel Foods,Consumer Staples
HST,Host Hotels & Resorts,Real Estate
HWM,Howmet Aerospace,Industrials
HPQ,HP Inc.,Information Technology
HUBB,Hubbell Incorporated,Industrials
HUM,Humana,Health Care
HBAN,Huntington Bancshares,Financials
HII,Huntington Ingalls Industries,Industrials
IEX,IDEX Corporation,Industrials
IDXX,Idexx Laboratories,Health Care
ITW,Illinois Tool Works,Industrials
INCY,Incyte,Health Care
IR,Ingersoll Rand,Industrials
PODD,Insulet Corporation,Health Care
ICE,Intercontinental Exchange,Financials
IFF,International Flavors & Fragrances,Materials
IP,International Paper,Materials
IPG,Interpublic Group of Companies (The),Communication Services
ISRG,Intuitive Surgical,Health Care
IVZ,Invesco,Financials
INVH,Invitation Homes,Real Estate
